Command finished with exit code 0.
Command output:
## 11. TODO — Step-by-Step Implementation Tracker

This section is the master checklist for implementing multithreaded PPPoE. Each task includes:
- **Status:** `NOT STARTED` | `IN PROGRESS` | `COMPLETED`
- **Owner:** Who is working on it
- **Start Date:** When work began
- **End Date:** When work finished
- **Dependencies:** What must be done first
- **Files Modified:** What files are touched
- **Notes:** Any blockers, decisions, or context

### Phase 0: Foundation and Setup

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 0.1 | Create feature branch `feature/multithreaded-pppoe` | NOT STARTED | | | | | | Branch from `main` |
| 0.2 | Set up VM test environment (bhyve/QEMU) | NOT STARTED | | | | | | Must support netgraph and snapshot rollback |
| 0.3 | Verify existing PPPoE tests pass on clean branch | NOT STARTED | | | | 0.2 | | Baseline before any changes |
| 0.4 | Document baseline performance (single-threaded) | NOT STARTED | | | | 0.3 | | Packets/sec, latency, CPU usage |

### Phase 1: Kernel Load Balancer Node (`ng_pppoe_lb`)

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 1.1 | Create `sys/netgraph/ng_pppoe_lb.h` header | COMPLETED | | 2026-04-23 | 2026-04-23 | 0.1 | `ng_pppoe_lb.h` | Define node type, messages, private data |
| 1.2 | Create `sys/netgraph/ng_pppoe_lb.c` core | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.1 | `ng_pppoe_lb.c` | Node constructor, destructor, hook management |
| 1.3 | Implement packet distribution logic | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.2 | `ng_pppoe_lb.c` | Discovery → round-robin, Session → hash |
| 1.4 | Implement session map (hash table) | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.3 | `ng_pppoe_lb.c` | Locking, aging, cleanup |
| 1.5 | Implement control messages (NGM_PPPOE_LB_*) | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.2 | `ng_pppoe_lb.c` | Add worker, remove worker, get stats, get map |
| 1.6 | Add sysctl variables | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.2 | `ng_pppoe_lb.c` | `net.graph.pppoe_lb.*` |
| 1.7 | Add KLD module support | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.2 | `ng_pppoe_lb.c` | `MOD_LOAD`/`MOD_UNLOAD` handlers |
| 1.8 | Update `sys/netgraph/Makefile` | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.1 | `Makefile` | Add `ng_pppoe_lb.o` |
| 1.9 | Create `sys/modules/netgraph/ng_pppoe_lb/` | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.8 | `Makefile`, `ng_pppoe_lb.c` | KLD module build |
| 1.10 | Write unit tests (user-mode mock) | NOT STARTED | | | | 1.3 | `tests/netgraph/ng_pppoe_lb_test.c` | No kernel code loaded |
| 1.11 | Run unit tests | NOT STARTED | | | | 1.10 | | Must pass before proceeding |
| 1.12 | Write integration test script (VM-based) | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.9 | `tests/netgraph/ng_pppoe_lb_vm_test.sh` | Loads module inside VM only |
| 1.13 | Run integration tests | NOT STARTED | | | | 1.12 | | Verify topology creation, stats, cleanup |
| 1.14 | Write performance test harness | NOT STARTED | | | | 1.9 | `tests/netgraph/ng_pppoe_lb_perf.c` | VM with dedicated vCPUs |
| 1.15 | Run performance tests | NOT STARTED | | | | 1.14 | | Measure 1, 2, 4, 8 worker throughput |
| 1.16 | Write stress test harness | NOT STARTED | | | | 1.9 | `tests/netgraph/ng_pppoe_lb_stress.sh` | VM with resource limits |
| 1.17 | Run stress tests | NOT STARTED | | | | 1.16 | | 5-minute run, check for leaks |
| 1.18 | Implement CPU governor thread | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.6 | `ng_pppoe_lb.c` | Monitors CPU load via `read_cpu_time()`, scales workers up/down |
| 1.19 | Implement worker hot-add (scale up) | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.18 | `ng_pppoe_lb.c` | Logs scale-up intent when CPU > threshold, respects max_workers cap |
| 1.20 | Implement worker hot-remove (scale down) | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.19 | `ng_pppoe_lb.c` | Logs scale-down intent when CPU < low_threshold, never goes below 1 worker |
| 1.21 | Add governor sysctl handlers | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.18 | `ng_pppoe_lb.c` | `governor.enabled`, `max_workers` (0=mp_ncpus, >0=hard cap), thresholds |
| 1.22 | Test governor scale-up under load | NOT STARTED | | | | 1.19 | | Verify CPU monitoring works, scale-up logged when CPU > threshold |
| 1.23 | Test governor scale-down under low load | NOT STARTED | | | | 1.20 | | Verify scale-down logged when CPU < low_threshold |
